OBJECTID_1,SITE,ST_NAME,YEAR_,REGION,PHYSIO,COUNTY,BASIN,SEGMENT,ORDER_,SAMP_SPR,DATE_SPR,SAMP_SUM,DATE_SUM,LAT,LONG_,NORTHING,EASTING,SHEDCODE,SHEDNAME,TEMP_FLD,DO_FLD,PH_LAB,PH_FLD,COND_LAB,COND_FLD,ANC_LAB,DOC_LAB,NO3_LAB,SO4_LAB,ACIDSRC,PASTURE,CHANNEL,CONCRETE,STORMDRN,EFF_DIS,BEAVPOND,INSTRHAB,EPI_SUB,VEL_DPTH,POOLQUAL,RIFFQUAL,CHAN_ALT,BANKSTAB,EMBEDDED,CH_FLOW,SHADING,REMOTE,AESTHET,WOOD_DEB,NUMROOT,RIP_WID,BUFF_TYP,ADJ_COVR,MAXDEPTH,ST_GRAD,AVGWID,AVGTHAL,AVG_VEL,FLOW,ACREAGE,URBAN,AGRI,FOREST,WETLANDS,BARREN,WATER,HIGHURB,LOWURB,PASTUR,PROBCROP,ROWCROP,CONIFER,DECIDFOR,MIXEDFOR,EMERGWET,WOODYWET,COALMINE,TRANS,PHI,BKTRFLAG,BLACKWAT,STRATA_R,FIBI_98,BIBI_98,HILSNHOF,EPT_TAXA,NSPECFSH,NG_WT,TGAM_WT,PER_ANOM,AMBRLAMP,AMEREEL,BANKILLI,BANSUNFI,BKNODACE,BLKCRAPI,BLSPSUNF,BLUEGILL,BLUNMINN,BRKTROUT,BRNTROUT,BRWNBULL,BULHEDSP,CENSTROL,CHCATFIS,CHKSCULP,CHNPIKRL,CMLYSHIN,COMMCARP,COMSHINR,CREKCHUB,CRKCHBSK,CUTLMINW,CUTTROUT,CYPRINEL,CYPRINID,CYPRHYBR,DARTER,EMUDMINW,ESILVMIN,FALLFISH,FANTDART,FATHMINW,FLIER,GIZZSHAD,GLASDART,GLDNREDH,GLDNSHNR,GOLDFISH,GRNDARTR,GRSUNFSH,IRNCSHIN,JOHNDART,LAMPREY,LEPOMHYB,LGMTHBAS,LNGEARSU,LNGNSGAR,LOGPERCH,LONGDACE,LSTBKLMP,MARGMDTM,MOSQFISH,MTLSCULP,MUDSUNFI,MUMICHOG,NHOGSUKR,PERLDACE,PIRPERCH,POTSCULP,PUMPSEED,REDBRSUN,REDPIKRL,RIVRCHUB,RNBOWDRT,RNBTROUT,ROCKBASS,ROSYDACE,ROSYSHIN,SATFINSH,SCULPIN,SEALAMPR,SHLDDART,SHRTREDH,SJAWMINW,SMMTHBAS,SPFNSHIN,SPTLSHIN,STRPBASS,STRPDART,STRPSHIN,SWMPDART,SWSHINER,TADPMADT,TESSDART,WARMOUTH,WHITCATF,WHTPERCH,WHTSUCKR,YLLWBULH,YLLWPRCH,Enabled,outletdist_m
1,BA-P-008-101-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4639.9
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4033.59
3,BA-P-206-108-95,N BR PATAPSCO R UT2,95,C,P,BA,PP,108,1,Y,4/6/1995 0:00,Y,7/31/1995 0:00,39.49,76.85,603934,839721,2130907,Liberty Reservoir,21,9.3,7.54,7.76,191.1,222,632.81,1,2.47,9,none, , , , , , ,14,16,13,12,11,10,8,10,70,90,16,17,3,2,50,FR,RR,68,0.7,3.8,37.5,0.03,0.41,1359.21,4.93,50.36,44.48,0.03,0,0.08,0.15,4.78,10.81,25.86,13.69,1.05,37.22,5.88,0.03,0.33,0,0,72.23,0,0,EPIEDMNT,3.89,3.67,2.29,11,12,1728,469,3.02,0,0,0,0,24,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,472,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,0,1,5110.07
4,CR-P-038-227-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22407.31
5,CR-P-050-106-95,BEAVER RUN UT1,95,C,P,CR,PP,106,1,Y,3/31/1995 0:00,Y,6/15/1995 0:00,39.53,76.94,620002,816769,2130907,Liberty Reservoir,13.6,9.2,7.35,7.58,266,318,561.95,2,9.07,6.12,none, , , , , , ,14,17,8,8,10,8,8,10,90,90,10,17,1,2,40,FR,TG,46,1.5,1.5,18.5,0.07,0.2,331.85,0,90.02,9.12,0,0,0.61,0,0,36.5,25.43,28.09,0.1,8.51,0.51,0,0,0,0,55.45,0,0,EPIEDMNT,2.78,4.11,4.27,9,5,345,0,12.32,0,0,0,0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,12699.68
6,CR-P-077-309-95,N BR PATAPSCO R,95,C,P,CR,PP,309,3,Y,3/31/1995 0:00,Y,8/8/1995 0:00,39.53,76.88,618654,831860,2130907,Liberty Reservoir,20.8,9.2,7.69,8.35,171.3,186,626.88,2,4.69,5.92,none, , , , , , ,18,15,17,18,17,16,8,10,100,60,12,11,0,0,0, ,RR,111,0.1,13.35,87,0.17,28.4,13672.69,5.31,67.95,26.19,0.13,0,0.44,1.28,4.03,18.04,35.33,14.57,0.97,23.61,1.47,0.13,0.16,0,0,84.47,0,0,EPIEDMNT,4.56,3.67,6.04,5,19,11533,2111,16.28,0,0,0,0,2,0,0,3,34,0,1,0,0,9,0,0,0,0,0,75,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,60,0,0,54,0,0,0,0,7,0,31,0,0,0,1,11,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,14,0,0,0,153,0,0,1,10983.6
7,CR-P-149-118-96,ROARING RUN,96,C,P,CR,PP,118,1,Y,3/14/1996 0:00,Y,6/18/1996 0:00,39.52,76.9,614774,827942,2130907,Liberty Reservoir,16.9,8.9,7.11,6.78,219.7,223,353.7,1.2,4.91,5.79,none, , , , , , ,19,19,11,14,16,12,2,15,85,90,15,15,2,1,50,FR,FR,57,2,3.35,35.25,0.14,1.86,1125,6.49,71.64,21.78,0,0,0,0.18,6.31,21.42,30.67,19.56,0,21.42,0.36,0,0,0,0,80.64,0,0,EPIEDMNT,3.89,3.89,5.25,10,9,1674,409,4.78,0,0,0,0,64,0,0,1,0,0,8,0,0,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8556.86
8,CR-P-152-302-96,NORTH BR PATAPSCO R,96,C,P,CR,PP,302,3,Y,3/12/1996 0:00,N,8/21/1996 0:00,39.49,76.87,605918,834205,2130907,Liberty Reservoir,0,0,7.4,0,222.8,0,500.7,2,4.76,8.52,none, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,36181,3.45,73.15,22.78,0.21,0,0.38,0.77,2.69,20.7,36.73,15.73,1.08,19.95,1.62,0.21,0.13,0,0,0,0,0,EPIEDMNT,0,2.56,6.34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4836.94
9,CR-P-152-318-95,N BR PATAPSCO R,95,C,P,CR,PP,318,3,Y,3/6/1995 0:00,Y,8/1/1995 0:00,39.49,76.88,606678,833252,2130907,Liberty Reservoir,22.2,8.1,7.46,7.56,183.4,204,635.35,1,4.6,7.3,none, , , , ,X, ,14,15,11,16,18,11,7,50,95,40,3,10,2,0,0, ,PV,50,0.3,11.95,41.5,0.51,28.74,32298.53,2.06,72.48,24.9,0.19,0,0.36,0.34,1.72,20.75,35.52,16.2,1.18,21.82,1.77,0.19,0.14,0,0,51.38,0,0,EPIEDMNT,3.67,2.78,4.87,6,19,1954,309,7.05,0,0,0,0,12,0,0,34,0,0,0,0,0,63,0,0,0,0,1,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,38,0,12,0,179,0,0,50,0,0,0,0,7,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,6,3,0,1,5207.18
10,CR-P-193-311-96,BEAVER RUN,96,C,P,CR,PP,311,3,Y,3/12/1996 0:00,Y,7/11/1996 0:00,39.49,76.9,604236,827742,2130907,Liberty Reservoir,20.1,8.8,7.42,7.34,189,174,387.6,1.1,4.45,6.53,none, ,X,X, , , ,17,16,18,17,17,13,14,35,95,30,0,15,1,0,0, ,PV,92,1.5,8.3,42.5,0.2,14.94,8260,4.61,69.32,25.88,0.06,0,0.17,0.33,4.29,15.98,31.5,21.84,0.74,22.29,0.98,0.06,1.88,0,0,82.49,0,0,EPIEDMNT,4.11,2.78,4.55,10,16,4951,1113,15.71,0,0,0,0,90,0,0,3,11,0,0,0,0,99,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,138,0,0,0,89,0,0,0,802,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,56,0,0,1,3362.28
